Sample	Unique Reads	Duplicate Reads
S2M_T20_clean_1	372497.0	155366.0
S2M_T20_clean_2	380710.0	147153.0
S3I_T01_clean_1	2499301.0	1037606.0
S3I_T01_clean_2	2382372.0	1154535.0
S3I_T02_clean_1	1181545.0	3526027.0
S3I_T02_clean_2	1864475.0	2843097.0
S3I_T03_clean_1	1275632.0	2904755.0
S3I_T03_clean_2	1768959.0	2411428.0
S3I_T04_clean_1	1724413.0	1692435.0
S3I_T04_clean_2	1765681.0	1651167.0
S3I_T05_clean_1	1073503.0	2920436.0
S3I_T05_clean_2	1782151.0	2211788.0
S3I_T10_clean_1	1031020.0	3099563.0
S3I_T10_clean_2	1610584.0	2519999.0
S3I_T15_clean_1	904718.0	2111082.0
S3I_T15_clean_2	1263123.0	1752677.0
S3I_T20_clean_1	1207796.0	3232303.0
S3I_T20_clean_2	1788713.0	2651386.0
S3M_T01_clean_1	2193139.0	1253369.0
S3M_T01_clean_2	2129445.0	1317063.0
S3M_T02_clean_1	1817853.0	2513014.0
S3M_T02_clean_2	2324904.0	2005963.0
S3M_T03_clean_1	1916098.0	2178164.0
S3M_T03_clean_2	2336470.0	1757792.0
S3M_T04_clean_1	1312841.0	1596206.0
S3M_T04_clean_2	1504269.0	1404778.0
S3M_T05_clean_1	1542343.0	2764399.0
S3M_T05_clean_2	2148433.0	2158309.0
S3M_T10_clean_1	1529661.0	2563349.0
S3M_T10_clean_2	2013801.0	2079209.0
S3M_T15_clean_1	1547713.0	1291576.0
S3M_T15_clean_2	1669640.0	1169649.0
S3M_T20_clean_1	1757386.0	2267106.0
S3M_T20_clean_2	2077435.0	1947057.0
